BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
1481;28JAN2004:00:00:00;B;31DEC9999:00:00:00;40
1482;28JAN2004:00:00:00;B;31DEC9999:00:00:00;150
1483;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1484;11NOV2007:00:00:00;B;13APR2018:00:00:00;65
1485;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1486;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1487;11NOV2007:00:00:00;B;31MAR2017:00:00:00;65
1487;01APR2017:00:00:00;B;13APR2018:00:00:00;64
1488;11NOV2007:00:00:00;B;07FEB2009:00:00:00;130
1488;08FEB2009:00:00:00;B;12APR2014:00:00:00;120
1488;13APR2014:00:00:00;B;31MAR2017:00:00:00;115
1488;01APR2017:00:00:00;B;13APR2018:00:00:00;100
1489;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1490;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1491;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1492;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100
1493;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1494;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1495;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1496;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1497;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1498;01DEC1998:00:00:00;B;31DEC9999:00:00:00;40
1683;25DEC2008:00:00:00;B;31DEC9999:00:00:00;170
1690;12JUL1999:00:00:00;B;31DEC9999:00:00:00;300
1691;15MAR2011:00:00:00;B;31DEC9999:00:00:00;200
1701;01JAN1996:00:00:00;B;31DEC9999:00:00:00;30
1702;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1703;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1704;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1705;12AUG1997:00:00:00;B;31DEC9999:00:00:00;50
1706;12OCT1997:00:00:00;B;04SEP2014:00:00:00;20
1707;12OCT1997:00:00:00;B;04SEP2014:00:00:00;70
1708;12OCT1997:00:00:00;B;04SEP2014:00:00:00;70
1709;12OCT1997:00:00:00;B;03SEP2014:00:00:00;50
1709;04SEP2014:00:00:00;B;31DEC9999:00:00:00;50
1710;12AUG1997:00:00:00;B;31DEC9999:00:00:00;40
1711;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70
1712;12AUG1997:00:00:00;B;31DEC9999:00:00:00;50
1713;01JAN1996:00:00:00;B;10FEB2011:00:00:00;120
1713;11FEB2011:00:00:00;B;12APR2014:00:00:00;90
1713;13APR2014:00:00:00;B;01FEB2019:00:00:00;85
1714;01JAN1996:00:00:00;B;01FEB2019:00:00:00;70
1715;01JAN1996:00:00:00;B;19SEP2019:00:00:00;70
1716;01JAN1996:00:00:00;B;10FEB2011:00:00:00;120
1716;11FEB2011:00:00:00;B;19SEP2019:00:00:00;100
1717;05AUG1997:00:00:00;B;19SEP2019:00:00:00;40
1718;11NOV2007:00:00:00;B;10FEB2011:00:00:00;65
1718;11FEB2011:00:00:00;B;19SEP2019:00:00:00;55
1719;01JAN1996:00:00:00;B;19SEP2019:00:00:00;40
1720;01JAN1996:00:00:00;B;13JUL2017:00:00:00;150
1721;01JAN1996:00:00:00;B;13JUL2017:00:00:00;40
1729;01JAN1996:00:00:00;B;31DEC9999:00:00:00;30
1730;01JAN1996:00:00:00;B;10FEB2011:00:00:00;70
1730;11FEB2011:00:00:00;B;31DEC9999:00:00:00;60
1731;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1732;01JAN1996:00:00:00;B;31DEC9999:00:00:00;30
1733;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1734;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1735;05AUG1997:00:00:00;B;31DEC9999:00:00:00;50
1736;12OCT1997:00:00:00;B;10FEB2011:00:00:00;70
1736;11FEB2011:00:00:00;B;31MAR2017:00:00:00;60
1736;01APR2017:00:00:00;B;31JAN2019:00:00:00;50
1740;12OCT1997:00:00:00;B;31JAN2019:00:00:00;70
1741;12OCT1997:00:00:00;B;01FEB2019:00:00:00;70
1742;12OCT1997:00:00:00;B;01FEB2019:00:00:00;70
1743;05AUG1997:00:00:00;B;13APR2018:00:00:00;70
1744;11NOV2007:00:00:00;B;07FEB2009:00:00:00;65
1744;08FEB2009:00:00:00;B;30JAN2012:00:00:00;60
1744;31JAN2012:00:00:00;B;31JAN2019:00:00:00;50
1745;12OCT1997:00:00:00;B;01FEB2019:00:00:00;40
1746;11NOV2007:00:00:00;B;07FEB2009:00:00:00;65
1746;08FEB2009:00:00:00;B;30JAN2012:00:00:00;60
1746;31JAN2012:00:00:00;B;01FEB2019:00:00:00;50
1747;12OCT1997:00:00:00;B;01FEB2019:00:00:00;40
1752;01JAN1996:00:00:00;B;31JAN2019:00:00:00;70
1753;01JAN1996:00:00:00;B;01FEB2019:00:00:00;40
1754;12OCT1997:00:00:00;B;31MAR2017:00:00:00;70
1754;01APR2017:00:00:00;B;31DEC9999:00:00:00;65
1755;12AUG1997:00:00:00;B;31DEC9999:00:00:00;180
1756;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70
1757;12AUG1997:00:00:00;B;13APR2018:00:00:00;120
1758;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70
1759;02AUG1997:00:00:00;B;31DEC9999:00:00:00;40
1760;01JAN1996:00:00:00;B;31DEC9999:00:00:00;20
1761;01JAN1996:00:00:00;B;31DEC9999:00:00:00;30
1762;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1763;01JAN1996:00:00:00;B;31MAR2017:00:00:00;120
1763;01APR2017:00:00:00;B;31MAR2019:00:00:00;105
1764;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1765;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1766;12AUG1997:00:00:00;B;31DEC9999:00:00:00;120
1767;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70
1768;12AUG1997:00:00:00;B;31DEC9999:00:00:00;120
1769;12AUG1997:00:00:00;B;31DEC9999:00:00:00;70
1770;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1771;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1772;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1773;30MAR1997:00:00:00;B;31MAR2017:00:00:00;40
1773;01APR2017:00:00:00;B;13APR2018:00:00:00;38
1777;12AUG1997:00:00:00;B;07FEB2009:00:00:00;120
1777;08FEB2009:00:00:00;B;13APR2018:00:00:00;100
1778;12AUG1997:00:00:00;B;01FEB2019:00:00:00;70
1779;01JAN1996:00:00:00;B;13APR2018:00:00:00;70
1780;01JAN1996:00:00:00;B;01FEB2019:00:00:00;40
1785;05AUG1997:00:00:00;B;10FEB2011:00:00:00;70
1785;11FEB2011:00:00:00;B;31JAN2019:00:00:00;60
1786;05AUG1997:00:00:00;B;01FEB2019:00:00:00;40
1800;28JAN2004:00:00:00;B;31DEC9999:00:00:00;120
1801;28JAN2004:00:00:00;B;10FEB2011:00:00:00;80
1801;11FEB2011:00:00:00;B;16APR2013:00:00:00;58
1801;17APR2013:00:00:00;B;31DEC9999:00:00:00;51
1802;28JAN2004:00:00:00;B;07FEB2009:00:00:00;70
1802;08FEB2009:00:00:00;B;12APR2014:00:00:00;65
1802;13APR2014:00:00:00;B;31DEC9999:00:00:00;60
1803;28JAN2004:00:00:00;B;07FEB2009:00:00:00;165
1803;08FEB2009:00:00:00;B;31DEC9999:00:00:00;150
1804;04JUL2006:00:00:00;B;07FEB2009:00:00:00;30
1804;08FEB2009:00:00:00;B;18JAN2010:00:00:00;25
