"nom_table";"TEC_COL";"ORG_CAI_NUM";"ORG_CAI_LIB";"ORG_BSE_NUM";"PIV_CAI_TOP";"ORG_CAI_TYP";"CPT_COP_NUM"
"IR_CAI_V";0;990;"MOA A COMPLETER";"93C990";0;"SM";NA
"IR_CAI_V";0;991;"MOA A COMPLETER";"93C991";0;"SM";NA
"IR_CAI_V";0;999;"MOA A COMPLETER";"93C999";0;"SM";NA
"IR_CAI_V";0;0;"MOA A COMPLETER";"94C000";0;"SM";NA
"IR_CAI_V";0;11;"MOA A COMPLETER";"94C011";0;"SM";NA
"IR_CAI_V";0;12;"MOA A COMPLETER";"94C012";0;"SM";NA
"IR_CAI_V";0;21;"MOA A COMPLETER";"94C021";0;"SM";NA
"IR_CAI_V";0;22;"MOA A COMPLETER";"94C022";0;"SM";NA
"IR_CAI_V";0;31;"MOA A COMPLETER";"94C031";0;"SM";NA
"IR_CAI_V";0;41;"MOA A COMPLETER";"94C041";0;"SM";NA
"IR_CAI_V";0;51;"MOA A COMPLETER";"94C051";0;"SM";NA
"IR_CAI_V";0;61;"MOA A COMPLETER";"94C061";0;"SM";NA
"IR_CAI_V";0;71;"MOA A COMPLETER";"94C071";0;"SM";NA
"IR_CAI_V";0;72;"MOA A COMPLETER";"94C072";0;"SM";NA
"IR_CAI_V";0;81;"MOA A COMPLETER";"94C081";0;"SM";NA
"IR_CAI_V";0;91;"MOA A COMPLETER";"94C091";0;"SM";NA
"IR_CAI_V";0;100;"MOA A COMPLETER";"94C100";0;"SM";NA
"IR_CAI_V";0;101;"MOA A COMPLETER";"94C101";0;"SM";NA
"IR_CAI_V";0;111;"MOA A COMPLETER";"94C111";0;"SM";NA
"IR_CAI_V";0;121;"MOA A COMPLETER";"94C121";0;"SM";NA
"IR_CAI_V";0;131;"MOA A COMPLETER";"94C131";0;"SM";NA
"IR_CAI_V";0;141;"MOA A COMPLETER";"94C141";0;"SM";NA
"IR_CAI_V";0;151;"MOA A COMPLETER";"94C151";0;"SM";NA
"IR_CAI_V";0;161;"MOA A COMPLETER";"94C161";0;"SM";NA
