BTF_PRS_IDE__BTF_HIS_DTD;BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
1246__11DEC2005:00:00:00;1246;11DEC2005:00:00:00;B;18JAN2010:00:00:00;60
1246__19JAN2010:00:00:00;1246;19JAN2010:00:00:00;B;31DEC9999:00:00:00;50
1247__11DEC2005:00:00:00;1247;11DEC2005:00:00:00;B;18JAN2010:00:00:00;60
1247__19JAN2010:00:00:00;1247;19JAN2010:00:00:00;B;31DEC9999:00:00:00;50
1248__11DEC2005:00:00:00;1248;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1249__11DEC2005:00:00:00;1249;11DEC2005:00:00:00;B;31DEC9999:00:00:00;120
1250__11DEC2005:00:00:00;1250;11DEC2005:00:00:00;B;28JUN2018:00:00:00;180
1251__11DEC2005:00:00:00;1251;11DEC2005:00:00:00;B;28JUN2018:00:00:00;180
1252__11DEC2005:00:00:00;1252;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1253__04SEP2014:00:00:00;1253;04SEP2014:00:00:00;B;08AUG2017:00:00:00;90
1254__04SEP2014:00:00:00;1254;04SEP2014:00:00:00;B;31DEC9999:00:00:00;90
1255__04SEP2014:00:00:00;1255;04SEP2014:00:00:00;B;31DEC9999:00:00:00;90
1301__11DEC2005:00:00:00;1301;11DEC2005:00:00:00;B;06FEB2009:00:00:00;60
1301__07FEB2009:00:00:00;1301;07FEB2009:00:00:00;B;31DEC9999:00:00:00;60
1302__11DEC2005:00:00:00;1302;11DEC2005:00:00:00;B;18JAN2010:00:00:00;180
1302__19JAN2010:00:00:00;1302;19JAN2010:00:00:00;B;10FEB2011:00:00:00;160
1302__11FEB2011:00:00:00;1302;11FEB2011:00:00:00;B;31MAR2019:00:00:00;150
1305__11DEC2005:00:00:00;1305;11DEC2005:00:00:00;B;31DEC9999:00:00:00;45
1307__11DEC2005:00:00:00;1307;11DEC2005:00:00:00;B;03NOV2011:00:00:00;60
1307__04NOV2011:00:00:00;1307;04NOV2011:00:00:00;B;31DEC9999:00:00:00;40
1308__11DEC2005:00:00:00;1308;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1309__11DEC2005:00:00:00;1309;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1310__11DEC2005:00:00:00;1310;11DEC2005:00:00:00;B;31DEC9999:00:00:00;30
